id;name;holding;type;format;holding_id;notes;website;phone
71;Queens;Pinskiy & Co;ресторанный бренд;lounge dining;3;;;
72;Medusa Asia;Pinskiy & Co;ресторанный бренд;asian;3;;;
73;Rocky2;Pinskiy & Co;ресторанный бренд;italian;3;;;
74;Narnia;Pinskiy & Co;ресторанный бренд;lounge;3;;;
75;Blondie;Pinskiy & Co;ресторанный бренд;café;3;;;
76;Restaurant №13;Pinskiy & Co;ресторанный бренд;partnership concept;3;;;
77;Maya;Pinskiy & Co;ресторанный бренд;latin / fusion;3;;;
78;White Rabbit;White Rabbit Family;ресторанный бренд;fine dining;4;;https://whiterabbitmoscow.ru;+7 (495) 510-51-01
79;Selfie;White Rabbit Family;ресторанный бренд;авторская кухня;4;;https://selfiemoscow.ru;+7 (495) 620-01-11
80;Sakhalin;White Rabbit Family;ресторанный бренд;seafood;4;;https://sakhalin-moscow.ru;+7 (495) 126-27-77
81;Luciano;White Rabbit Family;ресторанный бренд;итальянская;4;;;
82;Red Fox;White Rabbit Family;ресторанный бренд;mountain restaurant;4;;;
83;Chicha;White Rabbit Family;ресторанный бренд;peru fusion;4;;;
84;Tehnikum;White Rabbit Family;ресторанный бренд;гастробистро;4;;;
85;Mushrooms;White Rabbit Family;ресторанный бренд;mushroom concept;4;"контакт по таблице; в brands.csv бренд в White Rabbit Family";https://mushrooms.rest;+7 (495) 995-21-78
86;Zodiac;White Rabbit Family;ресторанный бренд;pan asian;4;;;
87;Горыныч;White Rabbit Family;ресторанный бренд;fire kitchen;4;;https://gorynich.com;+7 (495) 937-38-70
88;IKRA;White Rabbit Family;ресторанный бренд;гастротеатр;4;;;
89;Chef's Table;White Rabbit Family;ресторанный бренд;chef experience;4;;;
90;WA Garden;White Rabbit Family;ресторанный бренд;experimental;4;;;
91;Кафе Пушкинъ;Maison Dellos;ресторанный бренд;русская premium кухня;5;;https://cafe-pushkin.ru;+7 (495) 739-00-33
92;Турандот;Maison Dellos;ресторанный бренд;luxury dining;5;;;
93;Шинок;Maison Dellos;ресторанный бренд;украинская кухня;5;;;
94;Казбек;Maison Dellos;ресторанный бренд;грузинская;5;"контакт по таблице; в brands.csv бренд в Maison Dellos";https://ginza.ru/msk/restaurant/kazbek;+7 (495) 266-86-66
95;Волна;Maison Dellos;ресторанный бренд;seafood;5;;;
96;Фаренгейт;Maison Dellos;ресторанный бренд;contemporary;5;;;
97;Му-Му;Maison Dellos;ресторанный бренд;fast casual;5;;;
98;Бочка;Maison Dellos;ресторанный бренд;мясной ресторан;5;;;
99;Матрешка;Maison Dellos;ресторанный бренд;русская кухня;5;;;
100;Orange 3;Maison Dellos;ресторанный бренд;japanese fusion;5;;;
101;IL Патио;Rosinter Restaurants Holding;ресторанный бренд;итальянская;6;;;
102;Планета Суши;Rosinter Restaurants Holding;ресторанный бренд;японская;6;;;
103;TGI Fridays;Rosinter Restaurants Holding;ресторанный бренд;american casual;6;;;
104;Costa Coffee;Rosinter Restaurants Holding;ресторанный бренд;кофейни;6;;;
105;Американский Бар и Гриль;Rosinter Restaurants Holding;ресторанный бренд;casual dining;6;;;
106;Шикари;Rosinter Restaurants Holding;ресторанный бренд;pan asian;6;;;
107;Kitana;Family Garden;ресторанный бренд;asian;7;;;
108;Ping Pong;Family Garden;ресторанный бренд;pan asian;7;;;
109;321 Club;Family Garden;ресторанный бренд;nightlife;7;;;
110;Mandarin Mall проекты;Family Garden;ресторанный бренд;mixed concepts;7;;;
